Species,Genus,Minimum shell length,Maximum shell length,Average shell length,Minimum shell width,Maximum shell width,Average shell width,Minimum shell depth,Maximum shell depth,Average shell depth,R1,R2,Shell (test) shape,Minimum aperture length,Maximum aperture length,Average aperture length,Minimum aperture width,Maximum aperture width,Average aperture width,R3,R4,Position of the aperture,Degree of invagination of aperture,Aperture rim ,Presence/absence of collar,Shell covering,Presence/absence of internal partitions,Presence/absence of spines or horns,Feeding type
Alabasta longicollis,Alabasta,120,140,130,40,45,42.5,28.56,32.13,30.34,0.33,0.71,pyriform,20,22.5,21.25,14.28,16.06,15.17,0.5,0.71,straight terminal,absent,curved,presence,cleptostomes,absence,absence,mixotrophy
Alabasta militaris,Alabasta,61,77.5,67.9,31.5,53,37.7,21,32,26.5,0.56,0.7,pyriform,15.5,20.5,18,10.9,14.41,12.65,0.48,0.7,straight terminal,absent,curved,presence,cleptostomes,absence,absence,mixotrophy
Amphitrema stenostoma,Amphitrema,55,97,76,NA,NA,40,NA,NA,30,0.53,0.75,ovoid,NA,NA,14.4,NA,NA,10.8,0.36,0.75,amphistomic,absent,curved,absence,xenosomes,absence,absence,mixotrophy
Amphitrema wrightianum,Amphitrema,55,106,80.5,42.08,81.09,61.58,27.7,53.39,40.55,0.76,0.66,cylinder,8.08,15.58,11.83,4.04,7.79,5.92,0.19,0.5,amphistomic,absent,curved,absence,xenosomes,absence,absence,mixotrophy
Antarcella atava,Antarcella,40,46,43,50,70,60,50,70,60,1.4,1,patelliform,16.7,23.3,20,16.7,23.3,20,0.33,1,central ventral,slightly,straight,absence,organic,absence,absence,bacterivory
Arcella brasiliensis,Arcella,20,40,30,60,80,70,60,80,70,2.33,1,patelliform,10,20,15,10,20,15,0.21,1,central ventral,slightly,straight,absence,organic,absence,absence,bacterivory
Arcella conica,Arcella,31,48,39.5,60,80,70,60,80,70,1.77,1,patelliform,20,22,21,20,22,21,0.3,1,central ventral,slightly,straight,presence,organic,absence,absence,bacterivory
Arcella costata,Arcella,NA,NA,44,65,100,82.5,65,100,82.5,1.88,1,patelliform,NA,NA,17,NA,NA,17,0.21,1,central ventral,slightly,straight,presence,organic,absence,absence,bacterivory
Arcella crenulata,Arcella,52,58,55,112,224,168,112,224,168,3.05,1,patelliform,24,104,64,24,104,64,0.38,1,central ventral,slightly,straight,presence,organic,absence,absence,bacterivory
Arcella excavata,Arcella,36,45,40.5,53,70,61.5,53,70,61.5,1.52,1,patelliform,18,22,20,18,22,20,0.33,1,central ventral,strongly,curved,presence,organic,absence,absence,bacterivory
Arcella gibbosa,Arcella,50,75,62.5,80,110,95,80,110,95,1.52,1,patelliform,17,30,23.5,17,30,23.5,0.25,1,central ventral,slightly,straight,presence,organic,absence,absence,bacterivory
Arcella hemisphaerica,Arcella,23,37,30,38,68,53,38,68,53,1.77,1,patelliform,10,20,15,10,20,15,0.28,1,central ventral,slightly,straight,absence,organic,absence,absence,bacterivory
Arcella hemisphaerica undulata,Arcella,36,38,37,45,60,52.5,45,60,52.5,1.42,1,patelliform,14,16,15,14,16,15,0.29,1,central ventral,slightly,straight,absence,organic,absence,absence,bacterivory
Arcella intermedia,Arcella,35,50,42.5,65,75,70,65,75,70,1.65,1,patelliform,16,23,19.5,16,23,19.5,0.28,1,central ventral,slightly,straight,presence,organic,absence,absence,bacterivory
Arcella lobostoma,Arcella,29,32,30.5,42,54,48,42,54,48,1.57,1,patelliform,9,18,13.5,9,18,13.5,0.28,1,shifted ventral,slightly,lobbed,absence,organic,absence,absence,bacterivory
Arcella mitrata,Arcella,116,162,139,100,180,140,100,180,140,1.01,1,patelliform,36,48,42,36,48,42,0.3,1,central ventral,slightly,straight,presence,organic,absence,absence,bacterivory
Arcella multilobata,Arcella,28,31,29.5,84,98,91,84,98,91,3.08,1,patelliform,20,24,22,20,24,22,0.24,1,central ventral,strongly,lobbed,absence,organic,absence,absence,bacterivory
Arcella rotundata,Arcella,25,30,27.5,47,54,50.5,47,54,50.5,1.84,1,patelliform,NA,NA,17,NA,NA,17,0.34,1,central ventral,slightly,straight,absence,organic,absence,absence,bacterivory
Arcella rotundata alta,Arcella,22,32,27,36,53,44.5,36,53,44.5,1.65,1,patelliform,10,15,12.5,10,15,12.5,0.28,1,central ventral,slightly,straight,absence,organic,absence,absence,bacterivory
Arcella rotundata stenostoma,Arcella,18,28,23,39,52,45.5,39,52,45.5,1.98,1,patelliform,9.3,16,12.65,9.3,16,12.65,0.28,1,central ventral,slightly,straight,presence,organic,absence,absence,bacterivory
Arcella rotundata stenostoma undulata,Arcella,18,28,23,39,52,45.5,39,52,45.5,1.98,1,patelliform,9.3,16,12.65,9.3,16,12.65,0.28,1,central ventral,slightly,straight,absence,organic,absence,absence,bacterivory
Arcella vulgaris,Arcella,52,73,62.5,100,145,122.5,100,145,122.5,1.96,1,patelliform,30,47,38.5,30,47,38.5,0.31,1,central ventral,slightly,straight,presence,organic,absence,absence,mixotrophy
Arcella vulgaris penardi,Arcella,43,58,50.5,73,92,82.5,73,92,82.5,1.63,1,patelliform,17.5,33,25.25,17.5,33,25.25,0.31,1,central ventral,slightly,straight,presence,organic,absence,absence,mixotrophy
Arcella vulgaris polymorpha,Arcella,55,63,59,100,115,107.5,100,115,107.5,1.82,1,patelliform,32,47,39.5,32,47,39.5,0.37,1,central ventral,slightly,straight,absence,organic,absence,absence,mixotrophy
Arcella vulgaris undulata,Arcella,52,73,62.5,100,145,122.5,100,145,122.5,1.96,1,patelliform,30,47,38.5,30,47,38.5,0.31,1,central ventral,slightly,straight,absence,organic,absence,absence,mixotrophy
Archerella flavum,Archerella,40,75,57.5,15,45,30,14,28,21,0.52,0.7,cylinder,6,12,9,4.2,8.4,6.3,0.3,0.7,amphistomic,absent,straight,absence,organic,absence,absence,bacterivory
Archerella jollyi,Archerella,86,100,93,60,71,65.5,20,30,25,0.7,0.38,cylinder,12,14.2,13.1,4,4.7,4.35,0.2,0.33,amphistomic,absent,straight,absence,organic,absence,absence,bacterivory
Argynnia caudata,Argynnia,76,90,83,58,70,64,NA,NA,22.4,0.77,0.35,ovoid,29,35,32,NA,NA,11.2,0.5,0.35,straight terminal,absent,curved,absence,cleptostomes,absence,presence,predatory
Argynnia dentistoma,Argynnia,66,111,88.5,58,115,86.5,40,90,65,0.98,0.75,ovoid,19,37,28,14,26,20,0.32,0.71,straight terminal,absent,curved,absence,cleptostomes,absence,absence,predatory
Argynnia dentistoma hesperia,Argynnia,155,190,172.5,100,142,121,50,80,65,0.7,0.54,ovoid,32,50,41,17.19,26.86,22.02,0.34,0.54,straight terminal,absent,curved,absence,cleptostomes,absence,absence,predatory
